Potencia    Io      Pc      Pt      Uz      Efic
      15     4,4      80     310     390       3
      30     3,6     135     515     650       3
      45     3,5     180     710     890       3
      75       3     265    1090    1355     3,5
   112,5     2,6     365    1540    1905     3,5
     150     2,4     450    1960    2410       4
     225     2,1     615    2890    3505       4
     300       2     765    3575    4340     4,5
     400     1,9     930    4730    5660     4,5
     500     1,7    1090    5780    6870       5
     630     1,6    1285    7140    8425       5
     750     1,6    1450    8380    9830       5
     800     1,6    1520    8900   10420       5
    1000     1,6    1780   11100   12880       5
    1250     1,5    2090   13500   15590       6
    1600     1,5    2520   16700   19220       6
    2000     1,5    3010   20400   23410       6
    2500     1,5    3620   25000   28620       6
    3000     1,5    4230   29700   33930       6
    3750     1,5    5160   36600   41760       6
