Potencia   Io      Po      Pc      Pt      Uz     Efic
15          4,40   80,00  313,00  393,00    3,00   97,79
30          3,60  134,00  514,00  648,00    3,00   98,17
45          3,60  182,00  711,00  893,00    3,00   98,32
50          3,40  197,00  776,00  973,00    3,00   98,35
60          3,20  225,00  903,00 1128,00    3,50   98,41
75          2,60  266,00 1094,00 1360,00    3,50   98,47
100         2,60  330,00 1393,00 1723,00    3,50   98,55
112,5       2,60  351,00 1539,00 1890,00    3,50   98,58
125         2,60  390,00 1682,00 2072,00    3,50   98,60
150         2,40  447,00 1959,00 2406,00    4,00   98,65
160         2,50  486,00 2211,00 2697,00    4,00   98,59
200         2,10  569,00 2630,00 3199,00    4,00   98,66
225         2,10  618,00 2892,00 3510,00    4,00   98,69
250         2,10  666,00 3153,00 3819,00    4,00   98,72
300         2,00  758,00 3677,00 4435,00    4,50   98,77
350         2,00  846,00 4200,00 5046,00    4,50   98,80
400         1,90  930,00 4730,00 5660,00    4,50   98,82
500         1,70 1090,00 5770,00 6860,00    5,00   98,86
630         1,60 1284,00 7170,00 8454,00    5,00   98,89
750         1,60 1463,00 8396,00 9859,00    5,00   98,92
800         1,60 1521,00 8909,00 10430,00    5,00   98,93
1000        1,60 1782,00 11138,00 12920,00    5,00   98,94
1250        1,50 2088,00 13454,00 15542,00    6,00   98,98
1500        1,50 2395,00 15770,00 18165,00    6,00   99,01
1600        1,50 2518,00 16696,00 19214,00    6,00   99,02
2000        1,50 3009,00 20402,00 23411,00    6,00   99,04
