Potencia   Io(A)      Po(W)      Pc(W)      Pt(W)      Uz(%)
      10     5,5     105     229     334       4
      15     5,5     140     320     460       4
      20     5,5     170     407     577       4
      25       5     195     489     684       4
      30     4,5     220     567     787       4
      45     4,5     280     786    1066       4
      75       4     370    1188    1558       4
   112,5     3,6     460    1645    2105       5
     150     3,5     540    2066    2606       5
     225     2,9     685    2880    3565       5
     300     2,8     825    3634    4459       5
     400     2,8    1000    4571    5571       6
     500     2,3    1160    5508    6668       6
     630     2,3    1390    6683    8073       6
     750     2,3    1560    7816    9376       6
     800     2,3    1600    8255    9855       6
    1000     2,3    1900   10056   11956       6
