Potencia Io(A)   Po(W)   Pc(W)   Pt(W)   Uz(%)
   15     5,6     190     302     492      6
   30     4,5     260     548     808      6
   45     4,5     300     786     1086     6
   75      4      400     1216    1616     6
 112,5    3,6     550     1719    2269     6
  150     3,5     675     2171    2846     6
  225     2,9     900     3017    3917     6
  300     2,8     1120    3839    4959     6
  400     2,8     1360    4900    6260     6
  500     2,3     1600    5851    7451     6
  650     2,3     1870    7030    8900     6
  750     2,3     2040    8090   10130     6
  800     2,3     2210    8483   10693     6
  1000    2,3     2600   10348   12948     6
  1250    1,8     3030   12451   15481     8
  1600    1,8     3530   15541   19071     8
  2000    1,8     3850   19011   22861     8
