Potencia   Io      Po      Pc      Pt      Uz     Efic
       30         3,6     148     565     713     5,75     97,79
       45         3,6     200     782     982     5,75     98,17
       50         3,4     216     854     1070    5,75     98,32
       75         2,6     292     1203    1495    5,75     98,35
      100         2,6     363     1532    1895    5,75     98,41
     112,5        2,6     397     1693    2090    5,75     98,47
      125         2,6     429     1850    2279    5,75     98,55
      150         2,4     495     2155    2650    5,75     98,58
      160         2,5     534     2432    2966    5,75      98,6
      200         2,1     625     2893    3518    5,75     98,65
      225         2,1     677     3181    3858    5,75     98,59
      260         2,1     754     3584    4338    5,75     98,66
      300          2      842     4045    4887    5,75     98,69
      320          2      878     4277    5155    5,75     98,72
      400         1,9     1023    5203    6226    5,75     98,77
      500         1,7     1199    6347    7546    5,75      98,8
      520         1,7     1232    6584    7816    5,75     98,82
      560         1,7     1298    7058    8356    5,75     98,86
      600         1,7     1364    7532    8896    5,75     98,89
      630         1,6     1413    7887    9300    5,75     98,92
      650         1,6     1444    8110    9554    5,75     98,93
      700         1,6     1534    8668   10202    5,75     98,94
      750         1,6     1598    9225   10823    5,75     98,98
      800         1,6     1673    9800   11473    5,75     99,01
      850         1,6     1745   10413   12158    5,75     99,02
      1000        1,5     1960   12252   14212    5,75     99,04
      1100        1,5     2096   13271   15367    5,75     99,04
      1200        1,5     2232   14290   16522    5,75     99,04
      1250        1,5     2300   14799   17099    5,75     99,04
      1500        1,5     2635   17347   19982    5,75     99,04
      2000        1,5     3310   22442   25752    5,75     99,04
      2500        1,5     3982   22750   26732    5,75     99,04
      3000        1,5     4653   32670   37323    5,75     99,04
      3750        1,5     5453   38610   44063    5,75     99,04
      4000        1,5     5720   40590   46310    5,75     99,04
