Potencia Io(A)   Po(W)   Pc(W)   Pt(W)   Uz(%)    Efic
       3     2,5      21      70      91       3   97,42
       5     2,5      31      91     122       3   97,88
      10     2,5      52     142     194       3    98,3
      15     2,4      68     192     260       3   98,48
      25       2      98     299     387       3   98,65
    37,5       2     130     403     533       3   98,76
      50     1,9     160     512     672       3   98,83
      75     1,7     214     713     927       3   98,93
     100     1,6     263     897    1160       3      99
     167     1,5     379    1360    1739       3    99,1
